episode,length,step
1560,106,1317822
1561,1000,1318822
1562,1000,1319822
1563,1000,1320822
1564,1000,1321822
1565,1000,1322822
1566,1000,1323822
1567,1000,1324822
1568,98,1324920
1569,79,1324999
1570,1000,1325999
1571,1000,1326999
1572,1000,1327999
1573,1000,1328999
1574,1000,1329999
1575,92,1330091
1576,1000,1331091
1577,1000,1332091
1578,105,1332196
1579,438,1332634
1580,106,1332740
1581,1000,1333740
1582,1000,1334740
1583,511,1335251
1584,1000,1336251
1585,84,1336335
1586,107,1336442
1587,101,1336543
1588,1000,1337543
1589,1000,1338543
1590,92,1338635
1591,1000,1339635
1592,1000,1340635
1593,1000,1341635
1594,1000,1342635
1595,1000,1343635
1596,1000,1344635
1597,1000,1345635
1598,1000,1346635
1599,92,1346727
1600,103,1346830
1601,1000,1347830
1602,1000,1348830
1603,1000,1349830
1604,1000,1350830
1605,1000,1351830
1606,1000,1352830
1607,1000,1353830
1608,1000,1354830
1609,1000,1355830
1610,62,1355892
1611,79,1355971
1612,1000,1356971
1613,109,1357080
1614,91,1357171
1615,131,1357302
1616,80,1357382
1617,103,1357485
1618,1000,1358485
1619,1000,1359485
1620,1000,1360485
1621,1000,1361485
1622,1000,1362485
1623,1000,1363485
1624,1000,1364485
1625,1000,1365485
1626,1000,1366485
1627,1000,1367485
1628,103,1367588
1629,1000,1368588
1630,1000,1369588
1631,1000,1370588
1632,1000,1371588
1633,76,1371664
1634,89,1371753
1635,1000,1372753
1636,101,1372854
1637,105,1372959
1638,1000,1373959
1639,107,1374066
1640,1000,1375066
1641,1000,1376066
1642,1000,1377066
1643,109,1377175
1644,1000,1378175
1645,1000,1379175
1646,102,1379277
1647,1000,1380277
1648,1000,1381277
1649,83,1381360
1650,1000,1382360
